Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-LN-A8I0-01A	0	0	0.010527753009477	0.0480349288031911	0	0.0801644622933465	0.0523471989041815	0	0	0	0	0.0900947725507241	0	0.161688135487577	0.0834408123425077	0.218324938794265	0.0819025199965704	0.0904765697245396	0	0.08299790809362	0	0	0.092	0.119890754067985	1.06290097107807
TCGA-V5-AASX-01A	0	0	0.0412266240164677	0.199952518671984	0	0.0244676331404688	0.121279971042382	0.0612408978131747	0.114156410876519	0	0	0.0667859217462534	0	0.120783322259713	0.0707482045147182	0.0649936822525775	0.0229715077212363	0.0137715470905565	0.0621354382477931	0	0	0.0154863206061562	0.034	0.166743568723954	1.02315356422662
TCGA-LN-A49S-01A	0.00398398338201038	0	0.0732413486595277	0.112523501481574	0	0.0365931148357117	0.0937038241555389	0.0635481321371577	0.0853189105136381	0	0.0142190575667336	0	0.0241090199381107	0.0109912933341876	0.113661339224694	0.0711686353423749	0.0646807991039724	0.16309992010922	0.060071860742833	0	0	0.0090852594727163	0.214	0.0720411305290534	1.0633603002551
TCGA-Z6-A8JD-01A	0.168475184396509	0.0112367753487094	0.0391300609825826	0.0246583797891335	0	0.271874041892871	0.0220385719069631	0	0	0	0.0308162832592513	0	0	0.237584155934175	0.0999980636076752	0.00574656045415308	0.0233638748123627	0	0	0.0650780476156138	0	0	0	0.423482064182567	0.905657268209279
TCGA-L5-A88V-01A	0.0740806216373079	0	0.00722649722802584	0.0344420115485136	0	0.178971349185371	0.0277584705275533	0.0406082489543386	0.0349838151740411	0	0.0467131565659202	0	0	0.131271504214821	0.0712131185758524	0.221799845005379	0.0179054336841624	0.0726337005083537	0	0.0376195875573099	0	0.00277263963305037	0.436	0.0334554805115318	1.0769849932505
TCGA-IG-A7DP-01A	0.0163055867455782	0	0.084201980706944	0.282568551134042	0	0.0626960986690608	0.0500516848291438	0.0244337571557035	0.131855956118245	0	0	0	0.00719692917080297	0.0780884082851031	0.135289427678243	0.0892399475982534	0	0.0122645621734034	0.0258071097354769	0	0	0	0	0.592995725850207	0.813467848238825
TCGA-KH-A6WC-01A	0.0200387973491015	0	0.0624306015800181	0.036657426072172	0	0.169996653771552	0	0.047069901123531	0.0642438019214691	0	0.0135044140163828	0.0142383416371204	0.000588364167895266	0.0494226050950118	0.139587025312161	0.105899319441016	0.150912641732077	0.00198365844158271	0.123426448338909	0	0	0	0.792	-0.00778612158408731	1.08376407186821
TCGA-JY-A93E-01A	0.072662044715327	0.0115050193260829	0.0682782817295509	0.0852987667066317	0	0.225167720617262	0.0582314043293758	0	0.0686265661128557	0	0.0445773130905145	0	0.00566934331639755	0.101621881335163	0.0954058817862631	0.12627980043854	0.0218783228951906	0	0.0100258629253842	0	0	0.00477179067546073	0.033	0.168461629198846	1.01627553833055
TCGA-V5-A7RC-06A	0	0	0.0106450001539195	0.0972630573499136	0	0.243666394672713	0	0	0	0	0.016591177978099	0.0395950684160023	0.0195241659402754	0.248482203387633	0.0175053438845734	0.0622155040955669	0.139797443391559	0.00715889559160373	0.0938560662135934	0	0	0.00369967892454787	0.011	0.250553170049217	0.989109033578094
TCGA-VR-A8EY-01A	0.0690325659706328	0	0.0649777511420256	0.0341232814375935	0	0.0820060882280126	0.0222996355508574	0.0157399362595046	0.0174076453609705	0	0	0.0163884717226096	0	0.227697619768386	0.0104675543330962	0.184874252800575	0.0598961225270341	0.0690120068412667	0	0.126077068057435	0	0	0.034	0.166693839093707	1.02941495484796
