ID	Activated B cell	Activated CD4 T cell	Activated CD8 T cell	Activated dendritic cell	CD56bright natural killer cell	CD56dim natural killer cell	Central memory CD4 T cell	Central memory CD8 T cell	Effector memeory CD4 T cell	Effector memeory CD8 T cell	Eosinophil	Gamma delta T cell	Immature  B cell	Immature dendritic cell	Macrophage	Mast cell	Memory B cell	Monocyte	Myeloid derived suppressor cell	Natural killer cell	Natural killer T cell	Neutrophil	Plasmacytoid dendritic cell	Regulatory T cell	T follicular helper cell	Type 1 T helper cell	Type 17 T helper cell	Type 2 T helper cell
TCGA-CR-6488-01A	-0.209078465218796	0.179864559309409	0.267314927593595	0.278687336257879	0.33196289139252	0.383872416355891	0.55485798921181	0.431422393894689	0.174716945363684	0.237050526527548	-0.0792967510336239	0.34033686467167	0.00465270667891196	0.397402926553604	0.118929163887391	0.120424276471423	0.114551671083466	0.373689956409878	0.430664328110729	0.326724280833792	0.137223517268447	0.0213253762793728	0.4142790383936	0.332619929702082	0.240353398855101	0.166280620523279	-0.0126200388305728	0.127034533180941
TCGA-CR-7364-01A	-0.175747847079367	0.236845119483947	0.185160436667171	0.247129723066772	0.3242325938021	0.320782096042618	0.523142572953398	0.364492921521118	0.178607841844493	0.16780282082696	-0.0332427436778433	0.294280359755855	-0.0356344330279623	0.405676278519661	0.0218149173804269	0.106986188070835	0.112347891132674	0.357051406113119	0.235379732955288	0.262007517560132	0.0873119844506587	0.0106584847633435	0.409653386580332	0.136747855949751	0.192903058148709	0.138852627276627	0.00886193023801646	0.171792524676746
TCGA-CV-7421-01A	-0.232686703495237	0.157032302925882	0.175143204169979	0.177748537436392	0.335287092896048	0.362268907850334	0.529472862103438	0.356864145684821	0.173634187738539	0.154284706275587	-0.177094561257485	0.262966442613363	-0.140540851005915	0.342990097013769	0.0343765872274707	0.0472922329595161	0.0658137322953603	0.327042217960379	0.271554353790453	0.279550607509936	0.0919210454426851	-0.149530057093012	0.40173009232304	0.127964112361275	0.104621835028089	0.128772105144514	-0.0288272485797217	0.190348394077561
TCGA-CQ-5333-01A	-0.0724916009353991	0.274265875183582	0.462290156888792	0.305229864725551	0.352729485797535	0.310394554623569	0.575870684940953	0.345850046127365	0.189434738612096	0.329551460850489	-0.169661718525747	0.365187835960183	0.0636334445616296	0.413484124061675	0.140636156589271	0.0510936876653063	0.106343104647795	0.397360050038813	0.544699705110672	0.348658274990672	0.186891127822381	-0.0533132636734317	0.379504467310378	0.416683799822639	0.260987130668422	0.214539088402023	-0.0141263091050783	0.157155294070462
TCGA-CV-7104-01A	-0.163702419404763	0.238010723826859	0.241702284374913	0.280759802710195	0.326130547242582	0.329071996193095	0.557440652801765	0.421007939069115	0.165573222423465	0.24383219467515	-0.0622735146539252	0.345650843007098	0.0319825328669856	0.391883361616633	0.0651184901012337	0.0836570585378879	0.0955070161258119	0.357389586172046	0.412011899482177	0.339515428978421	0.178683924251308	0.0692733520587388	0.397705790648106	0.297708452061235	0.227193989211147	0.20054110460521	0.0183446515489184	0.161264424073728
TCGA-CV-7099-01A	-0.208414798367996	0.340131591798449	0.345363695994354	0.277183462022001	0.309820942142179	0.360048721258177	0.558143466867776	0.379204152754509	0.189585953921889	0.266409685094062	-0.071688092266997	0.322154052992474	0.0129314656165514	0.401287810516305	0.0482577403094243	0.0786025310782479	0.0610219111499194	0.350436234422323	0.404219504682162	0.24948223245205	0.134828367402522	0.0705412619289337	0.357684574496571	0.228677290779565	0.164556652439243	0.173338901593207	-0.0113998433786734	0.228202329224864
TCGA-IQ-A61H-01A	-0.218692671291588	0.223615616283169	0.211934001918258	0.205370168136776	0.313525905475464	0.346368065048546	0.510479918092839	0.382604677058599	0.147460364014462	0.130590450215928	-0.218496295867158	0.293382376816651	-0.148093616176803	0.393378314640445	0.0244716614896188	-0.0130254588663431	0.0880513694884531	0.318975371659072	0.246502964353344	0.2612996802979	0.0922608747283349	-0.13942871535896	0.366560724661955	0.116184924026113	0.112365751336731	0.101469216690931	-0.0821367636644878	0.148819321398033
TCGA-CV-6956-01A	-0.364397396283961	0.151597856319271	0.0760835421045575	0.169500026635702	0.303652004047168	0.377827232442481	0.495592808549679	0.308560494192569	0.148455558607193	0.0497941322264098	-0.22264352973818	0.273062389844136	-0.174304462120427	0.346415611133074	-0.142217726044883	-0.147573839974932	0.10107998196759	0.333239508857525	0.112202874657182	0.225945939546571	0.0865869031417761	-0.0829551204957577	0.361942685417394	-0.00874615830242715	0.0681264531155168	0.0597707576256228	-0.0410635987701881	0.136796106727268
TCGA-CQ-5334-01A	-0.163397075467932	0.315694266066666	0.406242370255734	0.258081669918414	0.329765048117915	0.285737891217215	0.567131194612701	0.3985602131198	0.208540548154049	0.30291007324088	-0.201495690466816	0.368725091958748	0.0367688931710914	0.384060078377117	0.0944230610367676	0.0105625862046561	0.143735576680751	0.393668611816949	0.455397205385204	0.298792850230235	0.168736164272993	0.0167820363693496	0.38038880409487	0.326278134729581	0.228229273928546	0.197959955705803	0.044689841968747	0.182694798420799
TCGA-CV-5432-01A	-0.218929140760099	0.172222322370321	0.231780627459492	0.240825900750192	0.315011148820678	0.336909948432922	0.50427150700096	0.336112083063187	0.161598447591607	0.150502206230432	-0.242326035922222	0.311961537645837	-0.137972371804724	0.334973375921782	-0.0362119878710142	-0.0689427492857649	0.00126923048859651	0.298070716260388	0.274379853729776	0.208175774250787	0.0760107332274463	-0.0638933114337625	0.367362294343898	0.109038211045988	0.110758276498535	0.0745590182858547	-0.0439349857053601	0.157612617559658
